Thu 14 Dec 2023 14:01:26: Opened File
Thu 14 Dec 2023 14:01:27: ==New Motion Triggered==
	Time(ms)	Position	Speed	Force	Power	Voltage	Errors
Thu 14 Dec 2023 14:01:27: 	0.522000	61552	660	-43882	15	24605	0
Thu 14 Dec 2023 14:01:27: 	0.923000	61765	646	-47322	16	24605	0
Thu 14 Dec 2023 14:01:27: 	1.464000	62044	645	-49929	17	24605	0
Thu 14 Dec 2023 14:01:27: 	1.926000	62239	621	-54105	19	24605	0
Thu 14 Dec 2023 14:01:27: 	2.519000	62483	615	-56307	19	24605	0
Thu 14 Dec 2023 14:01:27: 	2.941000	62700	594	-59790	21	24605	0
Thu 14 Dec 2023 14:01:27: 	3.349000	62862	581	-60984	21	24605	0
Thu 14 Dec 2023 14:01:27: 	3.915000	62984	554	-51527	16	24605	0
Thu 14 Dec 2023 14:01:27: 	4.280000	63095	535	-56681	18	24317	0
Thu 14 Dec 2023 14:01:27: 	4.887000	63254	511	-62386	20	24317	0
Thu 14 Dec 2023 14:01:27: 	5.293000	63351	493	-62266	20	24317	0
Thu 14 Dec 2023 14:01:27: 	5.705000	63437	473	-61636	18	24317	0
Thu 14 Dec 2023 14:01:27: 	6.269000	63501	449	-59671	17	24317	0
Thu 14 Dec 2023 14:01:27: 	7.253000	63555	425	-58653	16	24317	0
Thu 14 Dec 2023 14:01:27: 	7.690000	63618	369	-52385	14	24317	0
Thu 14 Dec 2023 14:01:27: 	8.135000	63642	343	-51805	13	24317	0
Thu 14 Dec 2023 14:01:27: 	8.706000	63644	317	-49271	11	23868	0
Thu 14 Dec 2023 14:01:27: 	9.195000	63633	288	-46428	9	23868	0
Thu 14 Dec 2023 14:01:27: 	10.225000	63616	262	-43821	8	23868	0
Thu 14 Dec 2023 14:01:27: 	10.690000	63545	210	-37809	6	23868	0
Thu 14 Dec 2023 14:01:27: 	11.099000	63500	188	-35734	5	23868	0
Thu 14 Dec 2023 14:01:27: 	11.616000	63455	165	-31216	4	23868	0
Thu 14 Dec 2023 14:01:27: 	12.040000	63386	140	-28810	2	23868	0
Thu 14 Dec 2023 14:01:27: 	13.217000	63330	120	-24152	2	24281	0
Thu 14 Dec 2023 14:01:27: 	13.663000	63166	73	-16543	0	24281	0
Thu 14 Dec 2023 14:01:27: 	14.137000	63086	55	-13701	0	24281	0
Thu 14 Dec 2023 14:01:27: 	14.585000	63013	39	-8998	0	24281	0
Thu 14 Dec 2023 14:01:27: 	15.000000	62948	25	-6514	0	24281	0
Thu 14 Dec 2023 14:01:27: 	15.527000	62861	9	-3883	0	24281	0
Thu 14 Dec 2023 14:01:27: 	15.993000	62793	-3	264	0	24281	0
Thu 14 Dec 2023 14:01:27: 	16.518000	62714	-3	2702	0	24371	0
Thu 14 Dec 2023 14:01:27: 	16.981001	62638	-27	6344	0	24371	0
Thu 14 Dec 2023 14:01:27: 	17.472000	62562	-37	8740	0	24371	0
Thu 14 Dec 2023 14:01:27: 	17.964001	62501	-44	12211	0	24371	0
Thu 14 Dec 2023 14:01:27: 	18.535000	62429	-53	14709	0	24371	0
Thu 14 Dec 2023 14:01:27: 	18.934000	62422	-49	5069	0	24371	0
Thu 14 Dec 2023 14:01:27: 	19.525000	62351	-57	18491	0	24371	0
Thu 14 Dec 2023 14:01:27: 	19.941999	62295	-62	22382	1	24371	0
Thu 14 Dec 2023 14:01:27: 	20.518000	62263	-62	24361	1	24281	0
Thu 14 Dec 2023 14:01:27: 	20.929001	62241	-61	27168	1	24281	0
Thu 14 Dec 2023 14:01:27: 	21.450001	62226	-59	29270	2	24281	0
Thu 14 Dec 2023 14:01:27: 	21.910000	62223	-55	31540	3	24281	0
Thu 14 Dec 2023 14:01:27: 	22.337000	62227	-51	33245	3	24281	0
Thu 14 Dec 2023 14:01:27: 	22.737000	62245	-44	34663	4	24281	0
Thu 14 Dec 2023 14:01:27: 	23.191000	62273	-36	36405	4	24281	0
Thu 14 Dec 2023 14:01:27: 	23.663000	62300	-29	38395	4	24281	0
Thu 14 Dec 2023 14:01:27: 	24.111000	62331	-22	39800	5	24281	0
Thu 14 Dec 2023 14:01:27: 	25.193001	62371	-14	40876	6	24093	0
Thu 14 Dec 2023 14:01:27: 	25.610001	62538	14	44094	7	24093	0
Thu 14 Dec 2023 14:01:27: 	26.052000	62603	24	45510	8	24093	0
Thu 14 Dec 2023 14:01:27: 	26.518000	62667	33	46529	8	24093	0
Thu 14 Dec 2023 14:01:27: 	26.979000	62759	46	47163	8	24093	0
Thu 14 Dec 2023 14:01:27: 	27.468000	62884	63	47521	8	24093	0
Thu 14 Dec 2023 14:01:27: 	27.997999	63014	79	47717	8	24093	0
Thu 14 Dec 2023 14:01:27: 	28.520000	63139	94	47580	8	24084	0
Thu 14 Dec 2023 14:01:27: 	28.900000	63270	109	47431	8	24084	0
Thu 14 Dec 2023 14:01:27: 	29.452000	63433	127	46480	8	24084	0
Thu 14 Dec 2023 14:01:27: 	29.857000	63548	138	46058	7	24084	0
Thu 14 Dec 2023 14:01:27: 	30.302000	63734	158	45131	7	24084	0
Thu 14 Dec 2023 14:01:27: 	30.770000	63882	173	43809	6	24084	0
Thu 14 Dec 2023 14:01:27: 	31.260000	64020	184	42670	6	24084	0
Thu 14 Dec 2023 14:01:27: 	31.652000	64189	199	41602	6	24084	0
Thu 14 Dec 2023 14:01:27: 	32.108002	64384	218	40203	6	24084	0
Thu 14 Dec 2023 14:01:27: 	32.554001	64582	233	38173	5	24147	0
Thu 14 Dec 2023 14:01:27: 	32.966000	64753	246	36711	5	24147	0
Thu 14 Dec 2023 14:01:27: 	33.516998	64958	264	34772	5	24147	0
Thu 14 Dec 2023 14:01:27: 	33.917000	65176	277	32148	3	24147	0
Thu 14 Dec 2023 14:01:27: 	34.374001	65395	295	30228	2	24147	0
Thu 14 Dec 2023 14:01:27: 	34.773998	65640	314	27727	2	24147	0
Thu 14 Dec 2023 14:01:27: 	35.264000	65823	323	25852	2	24147	0
Thu 14 Dec 2023 14:01:27: 	35.708000	66016	334	24267	1	24147	0
Thu 14 Dec 2023 14:01:27: 	36.195000	66314	356	21806	1	24147	0
Thu 14 Dec 2023 14:01:27: 	36.608002	66505	364	19723	1	24299	0
Thu 14 Dec 2023 14:01:27: 	37.063999	66683	369	17956	1	24299	0
Thu 14 Dec 2023 14:01:27: 	37.537998	66937	369	15402	1	24299	0
Thu 14 Dec 2023 14:01:27: 	38.051998	67166	391	13033	1	24299	0
Thu 14 Dec 2023 14:01:27: 	38.527000	67423	408	11427	0	24299	0
Thu 14 Dec 2023 14:01:27: 	38.981998	67708	422	8804	0	24299	0
Thu 14 Dec 2023 14:01:27: 	39.514999	67932	430	6950	0	24299	0
Thu 14 Dec 2023 14:01:27: 	39.987000	68218	444	4632	0	24299	0
